cigime03_number,present_in_edcs,edcs_record_count,edcs_ids,places
136,no,0,,
137,no,0,,
138,no,0,,
139,no,0,,
140,no,0,,
141,no,0,,
142,no,0,,
143,no,0,,
144,no,0,,
145,no,0,,
146,no,0,,
147,no,0,,
148,no,0,,
149,no,0,,
150,no,0,,
151,no,0,,
152,no,0,,
153,no,0,,
154,no,0,,
155,no,0,,
156,no,0,,
157,no,0,,
158,no,0,,
159,no,0,,
160,no,0,,
161,no,0,,
162,no,0,,
163,no,0,,
164,no,0,,
165,no,0,,
166,no,0,,
167,no,0,,
168,no,0,,
169,no,0,,
170,no,0,,
171,no,0,,
172,no,0,,
173,no,0,,
174,no,0,,
175,no,0,,
176,no,0,,
177,no,0,,
178,no,0,,
179,no,0,,
180,no,0,,
181,no,0,,
182,no,0,,
183,no,0,,
184,no,0,,
185,no,0,,
186,no,0,,
187,yes,1,EDCS-71200709,Palase / Palaeste / Grammata
188,yes,1,EDCS-71200710,Palase / Palaeste / Grammata
189,yes,1,EDCS-71200711,Palase / Palaeste / Grammata
190,no,0,,
191,no,0,,
192,no,0,,
193,no,0,,
194,no,0,,
195,no,0,,
196,no,0,,
197,no,0,,
198,no,0,,
199,yes,1,EDCS-71200712,Palase / Palaeste / Grammata
200,yes,1,EDCS-71200713,Palase / Palaeste / Grammata
201,no,0,,
202,no,0,,
203,yes,1,EDCS-71200714,Palase / Palaeste / Grammata
204,no,0,,
205,no,0,,
206,no,0,,
207,no,0,,
208,yes,1,EDCS-71200715,Palase / Palaeste / Grammata
209,no,0,,
210,no,0,,
211,yes,2,EDCS-71200716,Palase / Palaeste / Grammata
212,yes,1,EDCS-71200717,Palase / Palaeste / Grammata
213,yes,1,EDCS-71200718,Palase / Palaeste / Grammata
214,no,0,,
215,no,0,,
216,no,0,,
217,no,0,,
218,no,0,,
219,no,0,,
220,no,0,,
221,no,0,,
222,yes,1,EDCS-71200719,Palase / Palaeste / Grammata
223,no,0,,
224,no,0,,
225,no,0,,
226,no,0,,
227,no,0,,
228,no,0,,
229,no,0,,
230,no,0,,
231,no,0,,
232,no,0,,
233,no,0,,
234,no,0,,
235,no,0,,
236,no,0,,
237,no,0,,
238,no,0,,
239,no,0,,
240,no,0,,
241,no,0,,
242,no,0,,
243,no,0,,
244,no,0,,
245,no,0,,
246,no,0,,
247,no,0,,
248,yes,1,EDCS-71300040,Palase / Palaeste / Grammata
249,no,0,,
250,no,0,,
251,no,0,,
252,no,0,,
253,no,0,,
254,yes,1,EDCS-71300041,Palase / Palaeste / Grammata
255,no,0,,
256,no,0,,
257,yes,1,EDCS-71300042,Palase / Palaeste / Grammata
258,no,0,,
259,yes,1,EDCS-71300043,Palase / Palaeste / Grammata
260,yes,2,EDCS-71300044,Palase / Palaeste / Grammata
261,no,0,,
262,no,0,,
263,no,0,,
264,yes,1,EDCS-71300045,Palase / Palaeste / Grammata
265,no,0,,
266,no,0,,
267,no,0,,
268,no,0,,
269,no,0,,
270,no,0,,
271,no,0,,
272,no,0,,
273,no,0,,
274,yes,1,EDCS-71300046,Palase / Palaeste / Grammata
275,no,0,,
276,yes,2,EDCS-71300047,Palase / Palaeste / Grammata
277,no,0,,
278,no,0,,
279,no,0,,
280,no,0,,
281,no,0,,
282,no,0,,
283,no,0,,
284,no,0,,
285,no,0,,
286,no,0,,
287,yes,1,EDCS-71300048,Palase / Palaeste / Grammata
288,no,0,,
289,yes,1,EDCS-71300049,Palase / Palaeste / Grammata
290,no,0,,
291,no,0,,
292,no,0,,
293,no,0,,
294,no,0,,
295,no,0,,
296,no,0,,
297,no,0,,
298,no,0,,
299,no,0,,
300,no,0,,
301,no,0,,
302,no,0,,
303,no,0,,
304,no,0,,
305,no,0,,
306,no,0,,
307,no,0,,
308,no,0,,
309,no,0,,
310,no,0,,
311,no,0,,
312,no,0,,
313,no,0,,
314,no,0,,
315,no,0,,
316,no,0,,
317,no,0,,
318,no,0,,
319,no,0,,
320,no,0,,
321,no,0,,
322,no,0,,
323,no,0,,
324,yes,2,EDCS-71300050,Gradisht / Gradista / Hekal / Byllis
325,no,0,,
326,no,0,,
327,no,0,,
328,no,0,,
329,no,0,,
330,yes,2,EDCS-71300051,Gradisht / Gradista / Hekal / Byllis
331,no,0,,
332,no,0,,
333,no,0,,
334,no,0,,
335,no,0,,
336,no,0,,
337,no,0,,
338,no,0,,
339,no,0,,
340,no,0,,
341,no,0,,
342,no,0,,
343,no,0,,
344,no,0,,
345,no,0,,
346,no,0,,
347,no,0,,
348,no,0,,
349,no,0,,
350,no,0,,
351,no,0,,
352,no,0,,
353,no,0,,
354,no,0,,
355,no,0,,
356,no,0,,
357,no,0,,
358,no,0,,
359,no,0,,
360,no,0,,
361,no,0,,
362,no,0,,
363,no,0,,
364,no,0,,
365,no,0,,
366,no,0,,
367,no,0,,
368,no,0,,
369,no,0,,
370,no,0,,
371,no,0,,
372,no,0,,
373,no,0,,
374,no,0,,
375,no,0,,
376,no,0,,
377,no,0,,
378,no,0,,
379,no,0,,
380,no,0,,
381,no,0,,
382,no,0,,
383,no,0,,
384,no,0,,
385,no,0,,
386,no,0,,
387,no,0,,
388,no,0,,
389,no,0,,
390,no,0,,
391,no,0,,
392,no,0,,
393,no,0,,
394,no,0,,
395,no,0,,
396,no,0,,
397,no,0,,
398,no,0,,
399,no,0,,
400,no,0,,
401,no,0,,
402,no,0,,
403,no,0,,
404,no,0,,
405,no,0,,
406,no,0,,
407,no,0,,
408,no,0,,
409,no,0,,
410,no,0,,
411,no,0,,
412,no,0,,
413,no,0,,
414,no,0,,
415,no,0,,
416,no,0,,
417,no,0,,
418,no,0,,
419,no,0,,
420,no,0,,
421,no,0,,
422,no,0,,
423,no,0,,
424,no,0,,
425,no,0,,
426,no,0,,
427,no,0,,
428,yes,1,EDCS-71300052,Corrush
429,no,0,,
430,no,0,,
431,no,0,,
432,no,0,,
433,no,0,,
434,no,0,,
435,no,0,,
436,no,0,,
437,no,0,,
438,no,0,,
439,no,0,,
440,no,0,,
441,no,0,,
442,no,0,,
443,no,0,,
444,no,0,,
445,no,0,,
446,no,0,,
447,no,0,,
448,no,0,,
449,no,0,,
450,no,0,,
451,no,0,,
452,no,0,,
453,no,0,,
454,no,0,,
455,no,0,,
456,no,0,,
457,no,0,,
458,no,0,,
459,no,0,,
460,no,0,,
461,no,0,,
462,no,0,,
463,no,0,,
464,no,0,,
465,no,0,,
466,no,0,,
467,no,0,,
468,no,0,,
469,no,0,,
470,no,0,,
471,no,0,,
472,no,0,,
473,no,0,,
474,no,0,,
475,no,0,,
476,no,0,,
477,no,0,,
478,no,0,,
479,no,0,,
480,no,0,,
481,no,0,,
482,no,0,,
483,no,0,,
484,no,0,,
485,no,0,,
